player_id,player_name,player_url,player_category,Season,Age,Squad,Competition,LgRank,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
7776f997,Tafari Chambers,https://fbref.com/en/players/7776f997/Tafari-Chambers,CH,2026,25,Mount Pleasant Football Academy,1. CCC,R16,1,1,90,1.0,3,3.00,12,9,75.0,0,0,1,0,0.0,0,0,0,0,,Matches
7776f997,Tafari Chambers,https://fbref.com/en/players/7776f997/Tafari-Chambers,CH,1 Season,1 Club,1 League,,1,1,90,1.0,3,3.00,12,9,75.0,0,0,1,0,0.0,0,0,0,0,,,
a09949da,Gion Chande,https://fbref.com/en/players/a09949da/Gion-Chande,CH,2022-2023,24,Vaduz,3. Conf Lg,GR,2,1,117,1.3,2,1.54,,,,0,1,0,0,0.0,0,0,0,0,,Matches
a09949da,Gion Chande,https://fbref.com/en/players/a09949da/Gion-Chande,CH,1 Season,1 Club,1 League,,2,1,117,1.3,2,1.54,,,,0,1,0,0,0.0,0,0,0,0,,,
5f97d1f9,Gela Chanturiya,https://fbref.com/en/players/5f97d1f9/Gela-Chanturiya,CH,1997-1998,32,FC Dinamo Tbilisi,3. UEFA Cup,Rd2,3,2,224,2.5,,,,,,,,,,,,,,,,Matches
5f97d1f9,Gela Chanturiya,https://fbref.com/en/players/5f97d1f9/Gela-Chanturiya,CH,1 Season,1 Club,1 League,,3,2,224,2.5,,,,,,,,,,,,,,,,,
57398af8,Andreas Charitou,https://fbref.com/en/players/57398af8/Andreas-Charitou,CH,1990-1991,28,AC Omonia,3. UEFA Cup,Rd2,3,3,300,3.3,,,,,,,,,,,,,,,,Matches
57398af8,Andreas Charitou,https://fbref.com/en/players/57398af8/Andreas-Charitou,CH,1 Season,1 Club,1 League,,3,3,300,3.3,,,,,,,,,,,,,,,,,
b389ca37,Pavel Chasnowski,https://fbref.com/en/players/b389ca37/Pavel-Chasnowski,CH,2009-2010,23,FK Ventspils,2. Europa Lg,GR,2,2,180,2.0,6,3.00,10,4,40.0,0,1,1,0,0.0,,,,,,
b389ca37,Pavel Chasnowski,https://fbref.com/en/players/b389ca37/Pavel-Chasnowski,CH,1 Season,1 Club,1 League,,2,2,180,2.0,6,3.00,10,4,40.0,0,1,1,0,0.0,,,,,,,
c52b28d0,Andreas Christodoulou,https://fbref.com/en/players/c52b28d0/Andreas-Christodoulou,CH,2018-2019,21,AEK Larnaca FC,2. Europa Lg,GR,1,1,90,1.0,5,5.00,7,3,42.9,0,0,1,0,0.0,1,1,0,0,0.0,Matches
