player_id,player_name,player_url,player_category,Season,Age,Squad,Country,Competition,LgRank,Matches Played,Minutes,Minutes Per Match Played,Percentage of Squad Minutes Played,90s Played,Starts,Minutes Per Match Started,Complete Matches Played,Substitute Appearances,Minutes Per Substitution,Matches as Unused Sub,Points per Match,Goals Scored (on pitch),Goals Allowed (on pitch),Plus/Minus,Plus/Minus/90,On-Off,Matches
62aeec4b,Amin Chaaouane,https://fbref.com/en/players/62aeec4b/Amin-Chaaouane,CH,2024-2025,21,FC Bressuire,FRA,Coupe de France,Rd7,1,13,13,14.4,0.1,0,,0,1,13,0,0.00,0,0,0,0.00,+2.34,Matches
62aeec4b,Amin Chaaouane,https://fbref.com/en/players/62aeec4b/Amin-Chaaouane,CH,1 Season,1 Club,,1 League,,1,13,13,14.4,0.1,0,,0,1,13,0,0.00,0,0,0,0.00,+2.34,,
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,2017-2018,28,Olympique Alès,FRA,Coupe de France,109th,1,90,90,100.0,1.0,1,90,1,0,,0,0.00,0,3,-3,-3.00,,Matches
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,2018-2019,29,Olympique Alès,FRA,Coupe de France,65th,1,90,90,50.0,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,-4.00,Matches
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,2019-2020,30,Olympique Alès,FRA,Coupe de France,65th,2,210,105,100.0,2.3,2,105,2,0,,0,1.50,2,1,+1,+0.43,,Matches
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,2020-2021,31,Olympique Alès,FRA,Coupe de France,17th,4,359,90,99.7,4.0,4,90,3,0,,0,2.25,8,2,+6,+1.50,+1.50,Matches
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,2022-2023,33,US Salinière Aigues-Mortes,FRA,Coupe de France,Rd7,1,69,69,76.7,0.8,1,69,0,0,,0,0.00,0,2,-2,-2.61,+1.68,Matches
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,5 Seasons,2 Clubs,,1 League,,9,818,91,88.0,9.1,9,91,7,0,,0,1.33,10,10,0,0.00,-0.80,,
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,Olympique Alès (4 Seasons),,1 League,,8,749,94,89.2,8.3,8,94,7,0,,0,1.50,10,8,+2,+0.24,-1.74,,,
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,US Salinière Aigues-Mortes (1 Season),,1 League,,1,69,69,76.7,0.8,1,69,0,0,,0,0.00,0,2,-2,-2.61,+1.68,,,
