dimension,top_words,explained_variance
0,kabbalah | baruch | bnei | rav | phd | generation | authentic | sharing | info | wisdom,0.021008723850298772
1,br | crime | true | podcast | history | science | com | news | acast | technology,0.012322727312425487
2,crime | true | cases | nan | society | history | unsolved | documentary | acast | culture,0.016499484462271074
3,br | crime | true | language | comprehension | listening | fiction | sociolinguistics | sentence | vocabulary,0.014129349011614445
4,science | technology | business | news | data | tech | government | podcast | crime | true,0.012123745126659013
5,science | fiction | data | acast | books | grey | color | style | scientific | privacy,0.010441263608566708
6,music | history | fiction | comedy | art | culture | arts | society | new | historical,0.010019487492058367
7,history | government | art | culture | society | historical | class | events | news | war,0.009446432980269861
8,business | art | marketing | education | self | entrepreneurship | history | management | technology | entrepreneurs,0.008294917645620736
9,comedy | sports | fiction | business | talk | football | arts | art | radio | bbc,0.007886521732213858
10,government | fiction | comedy | arts | books | public | art | local | business | county,0.007591075732631347
11,comedy | technology | tech | radio | bbc | br | stand | data | week | comedians,0.006841334746266733
12,fiction | technology | art | news | arts | tech | books | stories | yorker | culture,0.006625158059137617
13,art | sports | arts | world | technology | visual | talk | government | artists | life,0.006249560548096742
14,und | die | der | art | mit | den | von | zu | verbrechen | arts,0.0060508703549764994
15,news | art | science | daily | nhk | radio | business | japan | politics | data,0.005708217205372986
16,br | https | com | li | www | href | newbooksnetwork | substack | technology | youtube,0.005076082327280496
17,et | les | la | data | vous | en | radio | des | pour | est,0.004452894429123871
18,data | art | fiction | machine | br | management | industry | comedy | storytime | intelligence,0.004259795994228
19,education | data | real | radio | nhk | learning | better | classical | creative | estate,0.004027011732066474
20,og | radio | nhk | er | på | creative | society | museum | fra | br,0.003704372442432827
21,football | radio | college | nhk | https | japan | art | podcast | com | newbooksnetwork,0.003622550424269243
22,football | college | nfl | br | news | strong | society | gambling | culture | creative,0.0035778378321890472
23,creative | process | sports | neil | writers | interviews | world | conversations | arts | funk,0.003421057883890621
24,radio | br | strong | nhk | japan | bbc | health | real | sports | investing,0.003357939570667747
25,li | nhk | world | daily | nan | japan | better | society | strong | culture,0.0033105999867410777
26,talk | society | culture | education | nan | real | estate | https | newbooksnetwork | personal,0.003175912794291304
27,li | education | technology | talk | daily | dog | podcast | ul | philadelphia | nan,0.003139018714319506
28,tech | nhk | world | real | li | japan | estate | latest | br | tea,0.0030962657175297973
